stopID,stopName,baselineAvgMinutes,closedStopAvgMinutes,deltaMinutes,walkOnlyTrips,note
"000000052011","Hornemanns Vænge (Kulbanevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010498","Cirklen (Kystvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010256","Køjevænget (Hartkornsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000052010","Hornemanns Vænge (Kulbanevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010497","Cirklen (Kystvejen)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000052012","Centerparken (Kulbanevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000052271","Bystævneparken nord (Bystævneparken)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000052270","Bystævneparken øst (Bystævneparken)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000044887","Viberup  Nøragersmindevej (Tømmerupvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000007065","Gladbovej (Vigerslev Allé)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001997","Rygårds Allé (Ryparken)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001518","Strandøre (Strandvejen)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010461","Magleby Torv (Hartkornsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001520","Svanemøllen St. (Østerbrogade)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000054219","Ørestad St.  Kay Fiskers Plads (Kay Fiskers Plads)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002858","Ved Amagerbanen (Raffinaderivej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000881","Haarlem Allé (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000880","Nøragersmindevej (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000882","Alkmaar Allé (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000885","Oliefabriksvej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000887","Ryumgårdsvej (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000886","Kollundvej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000052041","Frederikssundsvej (Frederiksborgvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000888","Pilegård Allé (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000010460","Magleby Torv (Hartkornsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000007050","Borgergade (Sølvgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000892","Kanadavej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000000891","Slusevej (Kongelundsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000000894","Gårdfæstevej (Kongelundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002832","Keldsøvej (Emdrupvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001988","Borups Allé (Nordre Fasanvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002839","Teglholm Allé (Teglholmsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000005760","HF ved Pilegården (Oliefabriksvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000005761","Fjelstrupvej (Oliefabriksvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000005762","Holdkærs Ager (Oliefabriksvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002004","Tingbjerg Skole (Ruten)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000005759","Løjtegårdsvej (Oliefabriksvej)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000002002","Arkaderne (Langhusvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000050566","Wibrandtsvej (Kastrupvej)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000000002003","Tingbjerg Kirke (Ruten)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000027548","DR Byen St. (Grønjordsvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002006","Energicenter Voldparken (Åkandevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002007","Husumvold Kirke (Åkandevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000030944","Foldbyvej (Otto Baches Allé)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000030940","Ørestad St. (Ørestads Boulevard)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000030941","Vestamager St. (Ørestads Boulevard)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000051662","Amagerhallen (Løjtegårdsvej)",62.42,62.42,0.00,123,"4 baseline trips used this stop"
"000000028620","Dragør Kirke (Kirkevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000029949","Langelinie Mole Midt (Langelinie)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002001","Fuglegavl (Gavlhusvej)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000001147","Bülowsvej (Thorvaldsensvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000002692","Mozarts Plads St. (Borgbjergsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000048297","Ved Bellahøj Nord (Bellahøjvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001132","Strandboulevarden (Nordre Frihavnsgade)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000052318","Veksøvej (Frederikssundsvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000042520","Københavns Lufthavn (Ellehammersvej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000001336","Carl Jacobsens Vej (Gammel Køge Landevej)",62.42,62.42,0.00,123,"1 baseline trips used this stop"
"000000052565","Svanemøllen St. (Sibeliusgade)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000008650654","Svanemøllen St. (togbus)",62.42,62.42,0.00,123,"3 baseline trips used this stop"
"000008650653","Nordhavn St. (togbus)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
"000000002681","Kobbelvænget (Gadelandet)",62.42,62.42,0.00,123,"2 baseline trips used this stop"
